Top 30 Most Common Phrases in Negative Reviews for mox_bank
============================================================

 1. use the app                    (frequency: 9)
 2. open the app                   (frequency: 7)
 3. app crashes                    (frequency: 7)
 4. reinstall the app              (frequency: 6)
 5. closing my account             (frequency: 5)
 6. not user friendly              (frequency: 5)
 7. open an account                (frequency: 4)
 8. account for no                 (frequency: 4)
 9. close the app                  (frequency: 4)
10. need to reinstall the app      (frequency: 3)
11. poor customer service          (frequency: 3)
12. cannot open account            (frequency: 3)
13. customer service is            (frequency: 3)
14. closed my account              (frequency: 3)
15. access my account              (frequency: 3)
16. my account after               (frequency: 3)
17. virtual bank in                (frequency: 3)
18. unable to login                (frequency: 3)
19. support is not                 (frequency: 3)
20. update the app                 (frequency: 3)
21. real balance of credit card    (frequency: 2)
22. u need to reinstall the app    (frequency: 2)
23. becoming slower and slower     (frequency: 2)
24. call the customer service      (frequency: 2)
25. phone upgraded to android      (frequency: 2)
26. transfer with mox credit       (frequency: 2)
27. closed my account for no       (frequency: 2)
28. account for no reason,         (frequency: 2)
29. app is the only way to         (frequency: 2)
30. real balance of credit         (frequency: 2)
