Top 30 Most Common Phrases in Negative Reviews for mox_bank
============================================================

 1. app crashes                    (frequency: 39)
 2. account opening                (frequency: 16)
 3. not user friendly              (frequency: 5)
 4. account for no                 (frequency: 4)
 5. user friendly                  (frequency: 4)
 6. poor customer service          (frequency: 3)
 7. customer service is            (frequency: 3)
 8. closed my account              (frequency: 3)
 9. access my account              (frequency: 3)
10. my account after               (frequency: 3)
11. virtual bank in                (frequency: 3)
12. unable to login                (frequency: 3)
13. support is not                 (frequency: 3)
14. update the app                 (frequency: 3)
15. real balance of credit card    (frequency: 2)
16. u need to reinstall the app    (frequency: 2)
17. becoming slower and slower     (frequency: 2)
18. call the customer service      (frequency: 2)
19. phone upgraded to android      (frequency: 2)
20. transfer with mox credit       (frequency: 2)
21. closed my account for no       (frequency: 2)
22. account for no reason,         (frequency: 2)
23. app is the only way to         (frequency: 2)
24. real balance of credit         (frequency: 2)
25. balance of credit card         (frequency: 2)
26. and unhelpful customer         (frequency: 2)
27. closed my account for          (frequency: 2)
28. transferred money to           (frequency: 2)
29. very bad experience,           (frequency: 2)
30. deposited money into           (frequency: 2)
